"MakeModel";"Alias";"ModelId"
Aeronca Champion;Aeronca Champ 7BCM N2606 Red and White;119
Aeronca Champion;Aeronca Champ 7BCM N2620 Orange and White;119
Aeronca Champion;Aeronca Champ 7BCM N2661E;119
Aeronca Champion;Aeronca Champ 7BCM N3547E;119
Aeronca Champion;Aeronca Champ 7BCM N7586E Red-White;119
Aeronca Champion;Aeronca Champ 7BCM Red-White;119
Aeronca Champion;Aeronca Champ 7BCM RWB;119
Aeronca Champion;Aeronca Champ 7BCM Yellow_White;119
Aeronca Champion;Aeronca Champ S7AC N1120E;119
Aeronca Champion;Aeronca Champ S7AC OY;119
Aeronca Champion;Aeronca Champ S7BCM N1120E;119
Aeronca Champion;Aeronca Champion;119
Aeronca Champion;"Aeronca Champion ""Tundra""";119
Aeronca Champion;Aeronca Champion 7AC;119
Aeronca Champion;Aeronca Champion 7FC N7543E Red-White;119
Aeronca Champion;Aeronca Chief (Stone);119
Aeronca Champion;Aeronca L16A Bald Eagle;119
Aeronca Champion;Aeronca L16A Bald Eagle NO VC;119
Aeronca Champion;Aeronca L16A DUTCHFS Blue;119
Aeronca Champion;Aeronca L16A M*A*S*H Little Angel;119
Aeronca Champion;Aeronca L16A NAVY;119
Aeronca Champion;Aeronca L16A NAVY NO VC;119
Aeronca Champion;Aeronca L16A Olive Drab;119
Aeronca Champion;Aeronca L16A USAF Grey;119
Aeronca Champion;Aeronca L16A USAF White;119
Aeronca Champion;Aeronca L16A USAF White NO VC;119
Aeronca Champion;Aeronca L16A_Civil;119
Aeronca Champion;Aeronca LC;119
Aeronca Champion;AeroncaK Canada;119
Aeronca Champion;AeroncaK N138EF;119
Aeronca Champion;AeroncaK United States;119
Aeronca Champion;CHAMPION AERONCA CHAMP 7FC N9080B;119
Aeronca Champion;Champion Aeronca Champ 7FC Yellow-white;119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ "" ""Cream and Tan"" """;119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""7AC - Charlie Brown""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""7FC Champ N7971B""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Aeronca 7AC""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Army-7787""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Army-Tundra""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Beta-2 Trispat""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Beta-2 Trispat_L""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Civilian Camoe N6825E""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""N2048A""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""N9251E""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Pointy's 7AC Champ""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Ski-NC79241""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Snow Ski""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Tri N-49310""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Tundra Champ N7971B""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Tundra N24853""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Tundra""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""Us Navy""";119
